IRR (%),NPV ($),Equity Multiple,DSCR
14.509705713613542,1746125.0268210424,1.7437838526321192,4.359459631580298
17.681244184682242,3150240.7013373207,1.963786489238128,4.90946622309532
15.165371697000051,2070573.622526682,1.805112448144653,4.512781120361633
19.946034598490826,3845809.958070509,2.020350344561114,5.050875861402785
15.78645823862348,2255654.8138329806,1.814997473287915,4.537493683219788
17.56474521467244,3009811.557850998,1.9284633844049395,4.821158461012349
16.103588269058513,2442339.67658135,1.8544358792199005,4.636089698049751
15.452502907653564,2141404.744826019,1.8031992705629882,4.507998176407471
17.569532676639852,2898237.022653139,1.888962234469606,4.722405586174015
17.977607511593853,3178346.9436542876,1.950827524167952,4.87706881041988
17.87594956695444,3202762.876323672,1.9653380681653454,4.913345170413364
16.68044459511726,2737287.038465202,1.9077087913024775,4.769271978256194
17.59640411299628,3083104.142602169,1.9472164696567393,4.868041174141848
17.375337957874805,2987910.0146402884,1.9344143258715711,4.836035814678928
18.73334767780119,3352118.840594801,1.949821211543791,4.874553028859477
18.419579428201448,3331780.871819866,1.9663330853824512,4.915832713456128
17.683246474987623,3108940.871212679,1.9512346886166152,4.878086721541538
11.846211782145977,715511.6905559758,1.60736827647777,4.018420691194425
19.55709175552871,3927613.3683620393,2.0683190626072574,5.170797656518143
15.374083611441014,2129841.257880182,1.8061811131722554,4.515452782930638
19.164322021237968,3616001.5856803646,2.0039570917388247,5.0098927293470625
15.875944860570534,2342781.0353621626,1.8387195550789392,4.596798887697348
16.547099995866034,2529850.4299674435,1.843238295187176,4.60809573796794
14.801808516811477,1910971.8366764644,1.779897880379531,4.449744700948827
18.82601702762219,3500650.5452499343,1.9923741423915133,4.980935355978783
14.989407905610076,1992362.6494173156,1.7958060458868432,4.489515114717108
18.768906208613846,3556919.241956194,2.0115030338895057,5.028757584723764
17.49593434604875,3084709.496110893,1.9563274395953207,4.890818598988302
15.821432210294839,2307071.186179258,1.8321537406306263,4.580384351576566
18.504459486328663,3510846.0448478647,2.016051094495457,5.0401277362386425
18.516824442059622,3493217.4886990506,2.010687118341468,5.026717795853671
19.39953962340837,3887668.316032958,2.0680160393280604,5.17004009832015
18.11328476424685,3340775.483718805,1.9905474010903426,4.976368502725856
21.158888429427503,4650338.354728066,2.177294477225102,5.443236193062755
19.29930032198417,3807661.179268986,2.0498458479554817,5.124614619888704
19.00160243992395,3596318.300990249,2.006463242355594,5.016158105888985
17.239391846402242,2801134.1527620098,1.8839668166509123,4.70991704162728
18.062058680862748,3345962.671479661,1.9990230691792554,4.997557672948139
17.863490916363013,3220120.2542788126,1.9719433458802915,4.9298583647007295
15.65610577722547,2224130.943645443,1.815359880853235,4.538399702133088
16.674122474319695,2629225.2707988415,1.872305470759028,4.680763676897571
18.357029732116125,3173118.206170894,1.9211649785264813,4.802912446316203
17.0915342869294,2831735.4741745107,1.9035708479714588,4.7589271199286465
20.100447480506812,4023080.8010688685,2.0618875045183604,5.154718761295901
21.9930895703369,4834255.641229734,2.1779713223739594,5.444928305934898
15.555427027931202,2144981.9468518496,1.7941395591184306,4.485348897796077
14.84204506139375,1808027.8601781214,1.7306354267575168,4.3265885668937925
16.210810765912086,2492866.966092555,1.8635200444958262,4.658800111239565
18.029773329964517,3214818.8936716085,1.958206415924991,4.8955160398124775
19.699084110598974,4266639.086977968,2.1583106956196914,5.395776739049228
18.484162313179418,3413996.17092136,1.987006475326493,4.967516188316233
19.306571357383117,3807830.4573779553,2.049936758924048,5.1248418973101195
21.13529664182692,4495297.606160683,2.1365382811315023,5.341345702828756
18.42855579731402,3296690.3521276256,1.954034515387013,4.885086288467532
17.290493752777337,2779409.514512107,1.8692400684933774,4.673100171233443
17.009280939037442,2852027.721753885,1.9193263705217534,4.798315926304383
19.103932000548674,3598337.67289198,2.0006568863668974,5.001642215917244
15.969331976111722,2342519.349057479,1.8288126907023363,4.572031726755841
17.628825165113394,3143624.7539941575,1.9660171749816506,4.9150429374541265
18.246134497649138,3440040.1684921198,2.0158615882337974,5.039653970584493
17.666527033593283,3136190.33185694,1.961228624802591,4.903071562006477
18.172455597225444,3344084.1966343746,1.9890296003284755,4.972574000821189
17.956843739655138,3210533.092878394,1.9626311457036376,4.906577864259094
18.62641278899082,3451004.7589802863,1.9896976623440006,4.974244155860001
19.846823296601436,4169717.2068308853,2.1237386568793437,5.30934664219836
18.068714278728248,3271201.346432113,1.9732998159821766,4.933249539955442
19.862050344481762,4105314.8206697684,2.0996782283449185,5.2491955708622955
19.778862674345167,3974633.9421257414,2.0696084678623,5.1740211696557505
16.838068713985965,2747134.8611447895,1.8983356410071663,4.745839102517916
16.48356990943882,2492526.7966005616,1.836456810093892,4.59114202523473
19.00967165140617,3623876.711995463,2.0151803757933844,5.037950939483461
17.422320109498045,2884685.4334641555,1.8968555651209342,4.742138912802336
17.982612689570622,3173245.2077686302,1.950106749827953,4.875266874569883
18.876309816482383,3561903.108115754,2.005855877271604,5.014639693179011
